"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.265415000E-1,-1.495136258E0,6.226229247E-1,-1.285729866E1,1.295890507E1
6.365784999E-1,-1.669535751E0,5.215815034E-1,-1.312856853E1,1.324457280E1
6.466165000E-1,-1.747574738E0,4.381796698E-1,-1.305280733E1,1.317656245E1
6.566534999E-1,-1.494489264E0,4.399799544E-1,-1.256927417E1,1.266545434E1
6.666905000E-1,-1.315253978E0,4.741438468E-1,-1.176630762E1,1.184908015E1
6.767284999E-1,-1.306895822E0,3.194764412E-1,-1.093642867E1,1.101887081E1
6.867655000E-1,-1.262304809E0,2.783064882E-1,-1.030997202E1,1.039068771E1
6.968024999E-1,-1.118439842E0,3.727260474E-1,-9.898429781E0,9.968387258E0
7.068395000E-1,-6.568963062E-1,6.072326146E-1,-9.645260546E0,9.686655522E0
7.168774999E-1,-1.971906967E-1,9.721596824E-1,-9.335159896E0,9.387714786E0
7.269145000E-1,-1.382205036E-1,1.119605411E0,-8.296744682E0,8.373087454E0
7.369514999E-1,-2.385563122E-1,9.838722400E-1,-6.255492223E0,6.336883828E0
7.469895000E-1,-2.388375632E-2,8.986419822E-1,-3.579188874E0,3.690355111E0
7.570265000E-1,4.314912591E-1,8.577572270E-1,-5.038107187E-1,1.084323479E0
7.670635000E-1,6.513703220E-1,7.833622252E-1,2.912181782E0,3.085245923E0
7.771015000E-1,8.361475991E-1,8.872495595E-1,6.435291765E0,6.549758369E0
7.871384999E-1,1.361873243E0,1.483724686E0,9.843499868E0,1.004741894E1
7.971755000E-1,2.047431066E0,1.807724460E0,1.311555029E1,1.339692133E1
8.072134999E-1,2.927420503E0,6.187833506E-1,1.692049256E1,1.718300766E1
8.172505000E-1,3.616166666E0,-1.716984736E0,2.137941550E1,2.175095641E1
8.272874999E-1,3.776733547E0,-3.595629491E0,2.513699532E1,2.567217952E1
8.373255000E-1,3.886446024E0,-5.161624355E0,2.768994347E1,2.843377917E1
