"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710100931166406E9,"2024-03-10 16:02:11.166 UTC-04:00"
"PAUSE",6.000331583328079E1,1.710100991168632E9,"2024-03-10 16:03:11.169 UTC-04:00"
