Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Predicted Label
0.7171242917,0.5510310781,3.296483014,0.1771858188,3.346913552,0.0
0.7271642917,0.6012443349,3.119266772,0.2240881262,3.184577748,0.0
0.7372052916,0.7721181026,2.95635048,-0.1467826363,3.05903901,0.0
0.7472452917,0.6695170096,3.213989326,-0.6531889522,3.347332703,0.0
0.7572852917,0.2353334731,3.064133375,-0.7404779416,3.161107839,0.0
0.7673262917,-0.4203095555,1.843666856,-0.4258380979,1.938325485,0.0
0.7773662916,-0.5621445885,0.3977194226,0.3300022334,0.7636024827,0.0
0.7874062917,-0.9310910323,-1.328738242,0.4450818694,1.682430889,0.0
0.7974472917,-0.8617766762,-1.814075852,0.2708254691,2.026543035,0.0
0.8074872916,-0.2557118967,-1.837289298,0.5096579343,1.923739002,0.0
0.8175272917,0.2723425475,-1.895232282,0.496863057,1.978117479,0.0
0.8275682917,0.6474768072,-1.225343097,-0.05287987947,1.386898772,0.0
0.8376082917,0.4995135999,-1.597549363,-0.6791014731,1.806337902,0.0
0.8476482916,0.1037956792,-2.921675906,-0.7183210874,3.01047319,0.0
0.8576892917,0.1147340655,-3.127542921,-0.4712528372,3.164927782,0.0
0.8677292917,0.6023178837,-0.2449720234,-0.1083062214,0.6591876537,0.0
0.8777692916,0.8306218341,0.5586868376,0.5807413656,1.15729173,0.0
0.8878092916,0.9484315351,0.109409591,0.943861059,1.342522452,0.0
0.8978502917,0.6183336997,-0.2550116926,0.7090602672,0.9747481675,0.0
0.9078902917,0.5558278415,-0.09000969887,0.3238000917,0.6495327818,0.0
0.9179302916,0.6279643562,0.0434611845,-0.1616287351,0.6498861095,0.0
0.9279712917,0.1995672244,0.1062503403,-0.4463261569,0.5003231457,0.0
0.9380112917,-0.171419313,0.2785479051,-0.32781479,0.4630724056,0.0
0.9480512916,-0.2176234263,0.7121166068,-0.009118150373,0.7446832602,0.0
0.9580922916,-0.1037278515,1.31839861,0.150752914,1.331037492,0.0
0.9681322917,0.1434681603,1.948377625,0.204022218,1.964276851,0.0
0.9781722917,-0.05928521186,3.051340837,0.4123982728,3.079653873,0.0
0.9882132916,-1.773221941,4.221926513,-0.1511902948,4.581685066,0.0
