"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710100071444690E9,"2024-03-10 15:47:51.445 UTC-04:00"
"PAUSE",6.000322929176036E1,1.710100131446969E9,"2024-03-10 15:48:51.447 UTC-04:00"
