"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710102635608117E9,"2024-03-10 16:30:35.608 UTC-04:00"
"PAUSE",6.059953599993605E1,1.710102696206651E9,"2024-03-10 16:31:36.207 UTC-04:00"
