"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710101284983355E9,"2024-03-10 16:08:04.983 UTC-04:00"
"PAUSE",6.000330916664098E1,1.710101344985572E9,"2024-03-10 16:09:04.986 UTC-04:00"
