Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Predicted Label
2.545529333,-2.943540692,-1.148567401,-7.059314221,7.734181027,0.0
2.555567333,-1.669964059,-5.176307298,-1.957061325,5.780400179,0.0
2.565604333,-2.334657993,-9.447532856,4.75397636,10.8308262,0.0
2.575641333,-3.545517975,-10.28631653,5.833582284,12.34543185,0.0
2.585678333,-4.629347051,-5.474145167,0.1331232664,7.1704143,0.0
2.595716333,-3.730531188,0.9062453359,-4.280913517,5.750162093,0.0
2.605753333,-1.703813445,5.665627447,-6.497121978,8.78720141,0.0
2.615790333,-0.6422974898,7.251604001,-7.520380039,10.46682486,0.0
2.625827333,-0.7488390215,5.174765972,-4.763978899,7.073503919,0.0
2.635865333,0.804094917,1.630325346,-2.830452325,3.363924752,0.0
2.645902333,2.04615535,-0.1399197775,-3.913961851,4.418758494,0.0
2.655939333,1.76788928,-0.7579418206,-5.467678732,5.796155538,0.0
2.665976333,1.448318772,-0.8066549742,-6.184810495,6.403139884,0.0
2.676013333,1.565627074,-0.5835679096,-5.530546825,5.777429171,0.0
2.686051333,1.712614089,-1.300175178,-4.557985293,5.039715512,0.0
2.696088333,2.020973438,-2.80133553,-3.90736356,5.215295235,0.0
2.706125333,2.651529573,-4.338467953,-3.612353404,6.237147615,0.0
2.716162333,3.298908147,-4.066298191,-3.128018007,6.099350178,0.0
2.726200333,2.2450174,-1.996156393,-0.8891184027,3.132933929,0.0
2.736237333,-0.2427977362,-0.6677455956,3.967218291,4.030341907,0.0
2.746274333,-1.568080274,-0.2989850932,5.251695449,5.488950075,0.0
2.756311333,-0.4154022798,-0.2073463601,2.043439172,2.095517887,0.0
2.766349333,0.9743890795,0.3873172259,-0.008830026537,1.048583178,0.0
2.776386333,1.254247638,0.3547534972,-1.386304665,1.902847289,0.0
2.786423333,0.8634095111,0.5318972343,-1.993545758,2.236652709,0.0
2.796460333,0.6797996306,1.087677421,-2.128346883,2.484960797,0.0
2.806497333,0.869908399,1.476124329,-1.744934427,2.445501955,0.0
2.816535333,0.9592155549,1.619136114,-1.086777534,2.173196182,0.0
2.826572333,0.913143881,1.675484562,-0.6815853703,2.026237617,0.0
2.836609333,1.560849022,1.98589453,-0.4755780226,2.570253141,0.0
2.846646333,1.667592136,1.920547802,-0.2565214437,2.556397982,0.0
2.856684333,1.309456317,1.714269143,0.06347090464,2.158106369,0.0
2.866721333,1.092019417,1.797643422,0.04062290948,2.103729664,0.0
2.876758333,1.08038682,2.152857095,-0.2417414367,2.420840407,0.0
2.886795333,0.8889951727,2.488666783,-1.041241758,2.840415317,0.0
2.896833333,0.3408495493,2.482839448,-1.592879777,2.969500989,0.0
2.906870333,-0.08834543511,2.425188825,-1.189821846,2.70278038,0.0
2.916907333,-0.6006438258,2.346531495,-0.228061291,2.432898481,0.0
2.926944333,-1.652677936,1.908163399,0.8271026874,2.65641314,0.0
2.936981333,-2.935025684,1.049117373,2.288081266,3.866566812,0.0
2.947019333,-4.007852639,0.209944278,4.387341321,5.946067881,0.0
2.957056333,-4.529416674,-0.4435230017,6.041729128,7.564047787,0.0
2.967093333,-3.895723801,-0.8983504254,6.767715915,7.860386513,0.0
2.977130333,-2.274620537,-1.322650706,6.706012588,7.203742659,0.0
2.987168333,-0.8530480988,-1.937966073,6.121515555,6.477372635,0.0
2.997205333,0.8582209843,-2.32447112,5.545086511,6.073523991,0.0
3.007242333,3.576400922,-2.242330019,4.424320574,6.115006134,0.0
3.017279333,5.553015336,-2.296841857,3.039664824,6.734316898,0.0
3.027317333,6.845804311,-2.415873626,1.67721066,7.450806509,0.0
3.037354333,7.045703657,-3.026371472,0.908071129,7.721752229,0.0
3.047391333,6.416877129,-3.554749852,0.4610281035,7.350177244,0.0
3.057428333,5.216950125,-4.023364425,0.6752598524,6.622688711,0.0
3.067465333,4.563108623,-3.696493376,1.148495773,5.98373346,0.0
3.077503333,3.647354253,-3.431865352,2.018873118,5.399698279,0.0
3.087540333,1.219723192,-3.592171447,3.97366777,5.493765186,0.0
3.097577333,-1.140472077,-3.650404453,4.522811952,5.923002379,0.0
3.107614333,-1.997277451,-3.573394868,3.790271313,5.578926844,0.0
3.117652333,-1.632255073,-3.391490913,2.281708386,4.401438446,0.0
3.127689333,-1.439844256,-3.448199549,2.079323242,4.276308777,0.0
3.137726333,-0.7280933927,-3.390472328,3.800501894,5.144826259,0.0
3.147763333,-0.347614924,-2.909414295,4.150871733,5.080872349,0.0
3.157801333,-1.095082043,-1.99697208,3.633223579,4.288055007,0.0
3.167838333,-1.32545313,-0.7205681723,1.796793091,2.346169197,0.0
3.177875333,-1.523759695,0.1212700832,-0.1209298483,1.533353863,0.0
3.187912333,-1.12240038,-0.4129572666,-0.5077640212,1.299284657,0.0
3.197949333,-0.5690235454,-1.260739802,-1.307376609,1.903283016,0.0
3.207987333,-0.1713292658,-2.032306804,-3.218130909,3.809985723,0.0
3.218024333,-0.2250296558,-3.795133565,-3.656518301,5.274827316,0.0
3.228061333,-1.647792879,-5.659275616,-2.130735324,6.267587646,0.0
3.238098333,-2.949371535,-6.253536329,-0.7479329954,6.954488683,0.0
3.248136333,-3.941875289,-6.518721008,0.2743099894,7.622817743,0.0
3.258173333,-5.049146145,-6.39760646,0.1350814989,8.151165084,0.0
3.268210333,-5.246865649,-5.559560124,-0.7277064532,7.679053626,0.0
3.278247333,-4.201633459,-4.247316293,-1.938981442,6.281167762,0.0
3.288285333,-3.679130654,-3.514344422,-1.905691781,5.433072818,0.0
3.298322333,-2.926696326,-2.040261356,-1.384339708,3.826828218,0.0
3.308359333,-0.6379721582,-0.5305763483,-2.131063645,2.28690883,0.0
3.318396333,1.295457937,0.2216691148,-3.874222419,4.091081497,0.0
3.328433333,1.921991041,-0.2756389153,-3.060443197,3.624408771,0.0
3.338471333,2.200239569,-0.4295113188,-3.823862105,4.43254504,0.0
3.348508333,3.217558759,-0.2990733862,-5.068667074,6.011115967,0.0
3.358545333,2.866462695,0.09122358084,-2.949142617,4.113681113,0.0
3.368582333,2.472347789,0.4200826836,-3.69729386,4.46754462,0.0
3.378620333,1.962523209,1.256572491,-4.771979937,5.31058041,0.0
3.388657333,0.571750102,2.923687348,-4.641652809,5.515413556,0.0
3.398694333,-0.1921872342,4.748098739,-4.495792553,6.541676256,0.0
3.408731333,-0.8716516002,5.495019727,-4.617353827,7.230143476,0.0
3.418769333,-1.642909431,6.099365718,-4.866261612,7.973826912,0.0
3.428806333,-2.078042848,6.67631224,-5.278861613,8.761152158,0.0
3.438843333,-2.440996919,7.187348363,-6.055529727,9.710091798,0.0
3.448880333,-2.476193795,7.35807829,-7.098046178,10.51927333,0.0
3.458918333,-2.166562968,7.180200727,-7.510719854,10.61415047,0.0
