"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710102314844198E9,"2024-03-10 16:25:14.844 UTC-04:00"
"PAUSE",6.274103991675656E1,1.710102377584200E9,"2024-03-10 16:26:17.584 UTC-04:00"
