"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.259835417E-1,-4.616693969E-1,8.078776270E-1,3.324831485E0,3.452580093E0
6.360235417E-1,-1.544178756E-1,1.100229346E0,3.116151960E0,3.308285437E0
6.460635418E-1,3.744149426E-1,1.488668653E0,2.966949143E0,3.340525127E0
6.561035417E-1,8.151435965E-1,1.943450761E0,3.151901252E0,3.791561874E0
6.661435417E-1,1.110240218E0,2.222534271E0,3.399111004E0,4.210255045E0
6.761835418E-1,1.161169613E0,2.139457908E0,3.609907807E0,4.353967085E0
6.862235417E-1,8.735067755E-1,1.672858577E0,3.727056187E0,4.177609093E0
6.962635417E-1,3.138662205E-1,9.058813468E-1,3.745940355E0,3.866678441E0
7.063035417E-1,-3.369442305E-1,1.080892897E-1,3.645889817E0,3.663021604E0
7.163425417E-1,-8.521542057E-1,-4.904641566E-1,3.470829443E0,3.607406119E0
7.263825417E-1,-1.103004947E0,-9.184712791E-1,3.220856881E0,3.526205957E0
7.364225417E-1,-1.127810151E0,-1.253333133E0,2.692674968E0,3.176995147E0
7.464625417E-1,-1.013765107E0,-1.474124874E0,1.847131332E0,2.571508894E0
7.565025417E-1,-8.413465047E-1,-1.541895857E0,8.887364334E-1,1.968542411E0
7.665425417E-1,-5.344629560E-1,-1.525633581E0,-7.897834182E-2,1.618470282E0
7.765825418E-1,-2.539658085E-1,-1.460176341E0,-8.618187761E-1,1.714451860E0
7.866225417E-1,-1.024119356E-1,-1.359394024E0,-1.383524898E0,1.942313430E0
7.966625417E-1,-4.490449660E-2,-1.245230647E0,-1.491619450E0,1.943590585E0
8.067025418E-1,9.878001072E-2,-1.203200861E0,-1.229855393E0,1.723367079E0
8.167425417E-1,3.933183695E-1,-1.256090096E0,-8.618626302E-1,1.573298720E0
8.267825417E-1,6.400935280E-1,-1.337267868E0,-5.379338998E-1,1.577142338E0
8.368225417E-1,6.940187435E-1,-1.360263505E0,-2.829988056E-1,1.553083109E0
8.468625417E-1,5.311995884E-1,-1.398878810E0,-1.307612836E-1,1.502043089E0
8.569025417E-1,2.214278624E-1,-1.458725354E0,-1.078150553E-1,1.479369475E0
8.669425417E-1,-1.451070252E-1,-1.490992044E0,-3.135721421E-1,1.530503451E0
8.769825418E-1,-5.152912880E-1,-1.472508996E0,-7.456579900E-1,1.729107773E0
8.870225417E-1,-7.167962066E-1,-1.359064241E0,-1.208163977E0,1.954613161E0
8.970615417E-1,-7.093122091E-1,-1.239859979E0,-1.644221254E0,2.178035838E0
9.071015418E-1,-5.667880818E-1,-1.104995120E0,-2.071348078E0,2.415107825E0
9.171415417E-1,-4.011904029E-1,-9.095943287E-1,-2.453981684E0,2.647704985E0
9.271815417E-1,-2.956916490E-1,-6.688979356E-1,-2.778771710E0,2.873400462E0
9.372215418E-1,-1.996284740E-1,-4.226155512E-1,-2.986556026E0,3.022907926E0
9.472615417E-1,-7.071677428E-2,-2.650699268E-1,-3.116301064E0,3.128353441E0
9.573015417E-1,5.587858748E-2,-1.384057872E-1,-3.111964184E0,3.115541632E0
9.673415417E-1,1.635587182E-1,-5.741804972E-2,-2.998984868E0,3.003990434E0
9.773815417E-1,2.443532052E-1,5.209123626E-2,-2.840873233E0,2.851838479E0
9.874215417E-1,2.667514033E-1,2.170968845E-1,-2.709619029E0,2.731359122E0
9.974615417E-1,3.310731144E-1,3.883572994E-1,-2.689894617E0,2.737875791E0
1.007501542E0,3.958735297E-1,5.425565623E-1,-2.757793654E0,2.838399076E0
1.017541542E0,4.541255385E-1,7.196538140E-1,-2.750140234E0,2.878784973E0
1.027581542E0,5.481719358E-1,8.671530448E-1,-2.637886557E0,2.830351986E0
1.037621542E0,6.393227919E-1,1.051431116E0,-2.428490163E0,2.722463130E0
1.047661542E0,6.975665416E-1,1.284908975E0,-2.143582242E0,2.594712890E0
1.057701542E0,7.488570748E-1,1.426277985E0,-1.883862956E0,2.478708423E0
1.067740542E0,5.493248606E-1,1.520747501E0,-1.543908761E0,2.235639736E0
1.077780542E0,2.190057446E-1,1.498210724E0,-1.166886728E0,1.911602345E0
1.087820542E0,-1.615954973E-1,1.360535985E0,-8.656814468E-1,1.620671354E0
1.097860542E0,-5.204824461E-1,1.238507226E0,-7.241741502E-1,1.526181616E0
1.107900542E0,-6.789778045E-1,1.196131577E0,-6.434866673E-1,1.518491587E0
1.117940542E0,-5.790973478E-1,1.255127644E0,-3.372463489E-1,1.422826146E0
1.127980542E0,-3.199907769E-1,1.373759171E0,1.415207452E-1,1.417616478E0
1.138020542E0,2.982344021E-2,1.462470496E0,6.593004620E-1,1.604489479E0
1.148060542E0,2.859738324E-1,1.482525568E0,1.265654386E0,1.970163475E0
1.158100542E0,3.020821258E-1,1.478309433E0,1.963803164E0,2.476524835E0
1.168140542E0,2.752629211E-1,1.457421133E0,2.552162867E0,2.951843718E0
1.178180542E0,2.758677424E-1,1.394134379E0,2.819213392E0,3.157162940E0
1.188220542E0,2.811917236E-1,1.243405731E0,2.742842909E0,3.024617962E0
1.198260542E0,2.797817772E-1,1.216404166E0,2.558583110E0,2.846798986E0
1.208300542E0,4.356923739E-1,1.232940092E0,2.483825873E0,2.807019787E0
1.218340542E0,7.424665797E-1,1.111895565E0,2.682377436E0,2.997118129E0
1.228379542E0,1.022282965E0,7.291331738E-1,3.253260981E0,3.487177176E0
1.238419542E0,1.075740915E0,1.774865301E-1,4.058002161E0,4.201916411E0
1.248459542E0,8.426482411E-1,-4.680671279E-1,4.874539515E0,4.968931311E0
1.258499542E0,3.978810250E-1,-1.082669135E0,5.690062961E0,5.805798676E0
1.268539542E0,-1.394294154E-2,-1.665421942E0,6.491130921E0,6.701388310E0
1.278579542E0,-2.880073113E-1,-2.164702384E0,6.954301736E0,7.289114985E0
1.288619542E0,-4.056266123E-1,-2.468227841E0,6.848197576E0,7.290712700E0
1.298659542E0,-3.735164814E-3,-2.796223310E0,6.266233558E0,6.861819129E0
1.308699542E0,4.531016911E-1,-2.750447212E0,5.041634227E0,5.760931929E0
1.318739542E0,9.652406721E-1,-2.440790658E0,3.274412114E0,4.196537059E0
1.328779542E0,1.623363359E0,-2.148191455E0,1.434793285E0,3.051010799E0
1.338819542E0,2.195976948E0,-1.815369402E0,-5.101871073E-2,2.849646247E0
1.348859542E0,2.625834861E0,-1.501494228E0,-1.123701532E0,3.226793883E0
1.358899542E0,2.934505574E0,-1.311272609E0,-1.890330561E0,3.728821322E0
1.368939542E0,2.969886492E0,-1.105294789E0,-2.306804928E0,3.919598362E0
1.378979542E0,2.711704439E0,-8.769735897E-1,-2.492016653E0,3.785838168E0
1.389018542E0,2.452485821E0,-8.154766685E-1,-2.560807976E0,3.638327416E0
1.399058542E0,2.089387323E0,-9.034942210E-1,-2.625185235E0,3.474685412E0
1.409098542E0,1.562141695E0,-9.828248575E-1,-2.826268058E0,3.375503297E0
1.419138542E0,9.679041519E-1,-9.967213503E-1,-3.133497725E0,3.427696003E0
1.429178542E0,4.684682104E-1,-9.396153957E-1,-3.556875315E0,3.708598328E0
1.439218583E0,1.656642640E-1,-7.967641166E-1,-3.920232990E0,4.003811234E0
1.449258583E0,2.220231637E-2,-6.280889019E-1,-4.084808722E0,4.132874412E0
1.459298583E0,-3.866078490E-2,-4.159770611E-1,-3.980075734E0,4.001941331E0
1.469338583E0,-8.121599816E-3,-2.088549417E-1,-3.799962196E0,3.805706115E0
1.479378583E0,5.498907980E-2,-1.800942421E-2,-3.733581095E0,3.734029450E0
1.489418583E0,4.918312356E-2,1.144253325E-1,-3.753476247E0,3.755542047E0
1.499458583E0,-4.159926658E-2,2.111252694E-1,-3.730910672E0,3.737111026E0
1.509498583E0,-2.012573803E-1,2.448800759E-1,-3.493969799E0,3.508318079E0
1.519538583E0,-3.569475187E-1,1.895415884E-1,-3.200070029E0,3.225490000E0
1.529578583E0,-5.864552647E-1,1.441063839E-1,-2.796708044E0,2.861166250E0
1.539617583E0,-7.198111041E-1,5.648249522E-2,-2.378144467E0,2.485334867E0
1.549657583E0,-6.512061614E-1,-9.744414121E-2,-2.077250842E0,2.179113555E0
1.559697583E0,-6.649142276E-1,-1.766702588E-1,-1.818352506E0,1.944152552E0
1.569737583E0,-7.389797388E-1,-2.006648929E-1,-1.661395111E0,1.829369063E0
1.579777583E0,-7.801898915E-1,-1.658356605E-1,-1.614277663E0,1.800580491E0
1.589817583E0,-9.482758529E-1,-6.908251405E-2,-1.603656780E0,1.864326837E0
1.599857583E0,-1.244596224E0,7.860075787E-2,-1.559987435E0,1.997187682E0
1.609897583E0,-1.339740655E0,1.990998857E-1,-1.437151467E0,1.974829139E0
1.619937583E0,-1.254810286E0,3.360915238E-1,-1.212003259E0,1.776642414E0
1.629977583E0,-1.162049399E0,5.526982655E-1,-9.000700915E-1,1.570337654E0
1.640017583E0,-1.017369988E0,7.570094821E-1,-4.954351670E-1,1.361455491E0
1.650057583E0,-8.034013642E-1,1.028456821E0,6.543852925E-2,1.306697894E0
1.660097583E0,-5.397074334E-1,1.258676611E0,6.970916015E-1,1.536713255E0
1.670137583E0,-2.861739351E-1,1.415646285E0,1.245604284E0,1.907217858E0
1.680176583E0,-9.872172128E-2,1.540501881E0,1.683554889E0,2.284129832E0
1.690216583E0,5.876630802E-2,1.605871121E0,1.984565458E0,2.553580935E0
1.700256583E0,2.684297004E-1,1.633228635E0,2.090500633E0,2.666398915E0
1.710296583E0,4.624410832E-1,1.671976233E0,2.228423002E0,2.824044148E0
1.720336583E0,5.717877069E-1,1.713976490E0,2.542749435E0,3.119331864E0
1.730376583E0,5.047606354E-1,1.849128448E0,2.799653871E0,3.392951682E0
1.740416583E0,5.127212540E-1,1.935859905E0,2.873979583E0,3.502883855E0
1.750456583E0,6.042363551E-1,2.061171730E0,2.916122805E0,3.621781701E0
1.760496583E0,7.995496570E-1,2.225021676E0,3.073870159E0,3.877973552E0
1.770536583E0,1.094650518E0,2.265578403E0,3.355461540E0,4.194070505E0
1.780576583E0,1.299554642E0,2.186250251E0,3.809988416E0,4.580889014E0
1.790616583E0,1.303217631E0,1.882683426E0,4.419426162E0,4.977368851E0
1.800656583E0,1.072483797E0,1.404771926E0,5.029415885E0,5.330912661E0
1.810696583E0,6.235366253E-1,8.895790172E-1,5.525924601E0,5.631695255E0
1.820735583E0,1.038692079E-2,3.597970131E-1,5.704066458E0,5.715412140E0
1.830775583E0,-5.259655264E-1,-2.490986958E-1,5.457297585E0,5.488240777E0
1.840815583E0,-8.300442754E-1,-8.146193205E-1,4.852951595E0,4.990362443E0
1.850855583E0,-9.698966637E-1,-1.150749728E0,4.031180983E0,4.302946037E0
1.860895583E0,-1.000480014E0,-1.290320866E0,2.914265730E0,3.340483938E0
1.870935583E0,-9.674039226E-1,-1.295250214E0,1.660085919E0,2.317202781E0
1.880975583E0,-9.728749430E-1,-1.269662653E0,5.202782321E-1,1.682028045E0
1.891015583E0,-9.547353452E-1,-1.310237067E0,-4.623750097E-1,1.685832554E0
1.901055583E0,-9.188727636E-1,-1.416925071E0,-1.288157980E0,2.123995008E0
1.911095583E0,-8.972093412E-1,-1.539858395E0,-1.828955262E0,2.553669091E0
1.921135583E0,-8.197749567E-1,-1.676929701E0,-1.992850378E0,2.730490218E0
1.931175583E0,-6.421143989E-1,-1.846596311E0,-1.875792044E0,2.709395621E0
1.941215583E0,-4.074214152E-1,-1.977984416E0,-1.546732966E0,2.543776215E0
1.951255583E0,-2.526369739E-1,-1.982747851E0,-1.171827625E0,2.316958019E0
1.961294583E0,-1.866371120E-1,-2.032712016E0,-9.362859911E-1,2.245747762E0
1.971334583E0,-1.677050885E-1,-2.151128073E0,-8.433234483E-1,2.316607740E0
1.981374583E0,-3.263413282E-1,-2.270893668E0,-9.310673511E-1,2.475952973E0
1.991414583E0,-5.029546863E-1,-2.333263286E0,-1.136963017E0,2.643816537E0
2.001454583E0,-6.691739973E-1,-2.344993970E0,-1.461937230E0,2.843246564E0
2.011494583E0,-7.788637429E-1,-2.356415044E0,-1.896501127E0,3.123465562E0
2.021534583E0,-7.770862625E-1,-2.302122185E0,-2.414177933E0,3.425183894E0
2.031574583E0,-7.680786999E-1,-2.169908161E0,-3.025385047E0,3.801499835E0
2.041614583E0,-7.476853658E-1,-1.994358082E0,-3.671532782E0,4.244602518E0
2.051654583E0,-7.183747356E-1,-1.747766965E0,-4.221597315E0,4.625217348E0
2.061694583E0,-6.075503742E-1,-1.461703341E0,-4.671508985E0,4.932412220E0
2.071734583E0,-4.203701473E-1,-1.126461418E0,-4.917565082E0,5.062417675E0
