"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710100623215449E9,"2024-03-10 15:57:03.215 UTC-04:00"
"PAUSE",6.000291708332952E1,1.710100683217291E9,"2024-03-10 15:58:03.217 UTC-04:00"
