"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710102159081008E9,"2024-03-10 16:22:39.081 UTC-04:00"
"PAUSE",6.053349858336151E1,1.710102219613506E9,"2024-03-10 16:23:39.614 UTC-04:00"
