"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710102544975131E9,"2024-03-10 16:29:04.975 UTC-04:00"
"PAUSE",6.059158066671807E1,1.710102605565710E9,"2024-03-10 16:30:05.566 UTC-04:00"
