"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.339340833E-1,3.462449799E0,-4.936284943E0,-1.804347839E0,6.293738060E0
6.438560833E-1,4.138144684E0,-5.840404816E0,-1.615141296E0,7.337796075E0
6.537780833E-1,4.988825684E0,-5.891598358E0,-1.456022186E0,7.856164046E0
6.637000833E-1,9.267228699E0,-7.210655365E0,-3.649411011E0,1.229606763E1
6.736230833E-1,1.608839401E1,-9.149423676E0,-5.027145996E0,1.917864887E1
6.835450833E-1,1.911135773E1,-8.863069153E0,-6.410419464E0,2.202025129E1
6.934670833E-1,1.700224365E1,-7.562723236E0,-7.169041901E0,1.994157049E1
7.033890833E-1,1.549757263E1,-6.218967590E0,-7.957003326E0,1.849768140E1
7.133110833E-1,1.538874893E1,-6.094426575E0,-1.024963577E1,1.946819618E1
7.232330834E-1,1.520777527E1,-7.138954468E0,-1.161629379E1,2.042496955E1
7.331550833E-1,1.620081024E1,-8.588839417E0,-1.206266556E1,2.194862901E1
7.430770833E-1,1.481020203E1,-9.230405273E0,-1.153875504E1,2.092093051E1
7.530000834E-1,1.128578110E1,-8.965605927E0,-9.028774567E0,1.700793094E1
7.629220833E-1,8.691525879E0,-8.362360382E0,-4.970264282E0,1.304512247E1
7.728440833E-1,5.876479797E0,-7.169640656E0,-1.298100586E0,9.360653133E0
7.827660833E-1,4.639601898E0,-7.149133301E0,1.091230774E-1,8.523374952E0
7.926880833E-1,4.797074432E0,-8.845555573E0,4.002676392E-1,1.007055066E1
8.026100833E-1,3.551813965E0,-8.815767517E0,2.693498840E0,9.878667692E0
8.125320833E-1,2.960244141E0,-8.247249756E0,4.618944855E0,9.905292801E0
8.224540833E-1,3.137475586E0,-8.167016602E0,5.091512146E0,1.012261869E1
8.323770833E-1,3.945944366E0,-8.764573975E0,4.145629120E0,1.046778270E1
8.422990833E-1,3.991150360E0,-8.703201599E0,2.168839874E0,9.817273841E0
8.522210833E-1,3.757785645E0,-8.269104309E0,7.448510742E-1,9.113388072E0
8.621430833E-1,3.495081940E0,-7.313341827E0,7.246430969E-1,8.137915831E0
8.720650833E-1,3.673660583E0,-6.416706390E0,2.534230042E-1,7.398251564E0
8.819870833E-1,4.253704376E0,-6.369554443E0,8.532257080E-3,7.659327485E0
8.919090834E-1,1.459315338E1,-1.017524048E1,7.856711884E0,1.944797074E1
9.018310833E-1,1.022448807E1,-1.172242310E1,8.704399109E-1,1.557924983E1
9.117540833E-1,6.523284760E0,-1.120869141E1,-5.035229187E0,1.391192079E1
9.216760834E-1,9.129964142E0,-1.244182709E1,-1.964215393E0,1.555678143E1
9.315980833E-1,1.063253952E1,-1.298370026E1,-8.918453979E-1,1.680543832E1
9.415200833E-1,1.043569885E1,-1.164593216E1,-1.394051056E0,1.569951989E1
9.514420833E-1,1.011311966E1,-1.010398865E1,-1.484612732E0,1.437253808E1
9.613640833E-1,1.011820908E1,-8.690927124E0,-1.528022461E0,1.342554363E1
9.712860833E-1,9.721683655E0,-6.907086639E0,-1.664388885E0,1.204114485E1
9.812080833E-1,9.055718536E0,-5.639073486E0,-1.751208344E0,1.081073164E1
9.911310833E-1,8.518336029E0,-5.308560791E0,-2.254162445E0,1.028708485E1
1.001053083E0,7.718848572E0,-5.008434906E0,-2.693049774E0,9.587364631E0
1.010975083E0,6.123466187E0,-4.339326324E0,-2.784808960E0,8.005107871E0
1.020897083E0,5.190007324E0,-3.803889771E0,-3.585793304E0,7.366387652E0
1.030819083E0,5.192701721E0,-3.247347107E0,-4.247417450E0,7.453185184E0
1.040741083E0,5.295088806E0,-2.957250366E0,-4.321812744E0,7.447238454E0
1.050663083E0,4.929548950E0,-2.545606384E0,-3.988006897E0,6.832624951E0
1.060585083E0,4.491110687E0,-2.666554871E0,-3.855682068E0,6.492062407E0
1.070508083E0,4.318220215E0,-3.058140564E0,-3.024759979E0,6.094950571E0
1.080430167E0,4.384831696E0,-3.214714966E0,-1.704655151E0,5.697981265E0
1.090352167E0,4.547243958E0,-3.718118134E0,-7.012916565E-1,5.915542245E0
1.100274167E0,4.988376617E0,-4.357288971E0,2.453697510E0,7.063320743E0
1.110196167E0,7.742499390E0,-4.567751312E0,-2.546504517E0,9.343197210E0
1.120118167E0,7.093299408E0,-3.613934784E0,1.392105103E-1,7.962085197E0
1.130040167E0,6.398144989E0,-4.226760406E0,4.945715332E-1,7.684163184E0
1.139962167E0,6.950496368E0,-4.511917419E0,5.343887329E-2,8.286715530E0
1.149885167E0,7.369624786E0,-4.205205231E0,-8.381071472E-1,8.526285482E0
1.159807167E0,7.458240509E0,-4.025728455E0,-2.293680267E0,8.780251150E0
1.169729167E0,7.667655029E0,-3.631747742E0,-3.159928894E0,9.053600164E0
1.179651167E0,9.201215973E0,-3.374432831E0,-3.731440430E0,1.048679265E1
1.189573167E0,1.068388275E1,-3.938759308E0,-3.627257080E0,1.195057193E1
1.199495167E0,1.129102020E1,-4.816384277E0,-2.776875458E0,1.258553662E1
1.209417167E0,1.183798279E1,-4.897066498E0,-2.331701202E0,1.302136426E1
1.219340167E0,1.251517456E1,-4.536166992E0,-2.276016998E0,1.350506048E1
1.229262167E0,1.254226822E1,-4.617597656E0,-2.098037109E0,1.352894896E1
1.239184167E0,1.172167465E1,-5.643564148E0,-1.988015900E0,1.316053495E1
1.249106167E0,1.100750977E1,-6.194568329E0,-2.235301666E0,1.282710106E1
1.259028167E0,1.055051010E1,-6.372099152E0,-2.707569580E0,1.261934404E1
1.268950167E0,1.021011795E1,-6.878795471E0,-3.144211578E0,1.270631348E1
1.278872167E0,1.041848465E1,-7.239994354E0,-2.934946747E0,1.302214472E1
1.288794167E0,1.097338074E1,-7.103178864E0,-1.875300293E0,1.320556648E1
1.298717167E0,1.174322983E1,-7.032226410E0,-6.179150391E-1,1.370173252E1
1.308639167E0,1.160192368E1,-7.745942230E0,4.519102478E-1,1.395738073E1
1.318561167E0,1.058508820E1,-8.262218628E0,1.357826385E0,1.349637141E1
1.328483167E0,1.025023453E1,-9.242679749E0,1.378782806E0,1.387066973E1
1.338405167E0,9.680369568E0,-9.981393585E0,1.743723907E0,1.401350584E1
1.348327167E0,8.455766144E0,-1.021176453E1,2.112556915E0,1.342546135E1
1.358249167E0,8.003556519E0,-1.079764618E1,2.360142059E0,1.364611119E1
1.368171167E0,8.236472168E0,-1.127305756E1,2.437531128E0,1.417260944E1
1.378094167E0,8.608598328E0,-1.152453461E1,2.312091980E0,1.456944173E1
1.388016167E0,8.821306000E0,-1.173499695E1,1.905387726E0,1.480392162E1
1.397938167E0,8.890611877E0,-1.183843185E1,1.731449432E0,1.490601776E1
1.407860167E0,8.466992798E0,-1.172601562E1,1.250050507E0,1.451730126E1
1.417782167E0,7.994425507E0,-1.183873123E1,-8.214916992E-1,1.430878209E1
1.427704167E0,7.781119080E0,-1.107995911E1,-3.564088440E0,1.400050122E1
1.437626167E0,6.802005157E0,-9.098080444E0,-5.030139771E0,1.242355215E1
1.447548167E0,5.920039215E0,-7.585326233E0,-5.432053986E0,1.104949089E1
1.457471167E0,5.634582825E0,-6.929090881E0,-5.756878510E0,1.062555760E1
1.467393167E0,5.734425201E0,-6.171216888E0,-5.849236450E0,1.025578458E1
1.477315167E0,5.345982971E0,-5.443130951E0,-5.542524261E0,9.430099876E0
1.487237167E0,4.570146332E0,-5.326673126E0,-4.727918243E0,8.462440251E0
1.497159167E0,4.666096802E0,-5.373675385E0,-2.812651062E0,7.652440950E0
1.507081167E0,4.724774780E0,-5.224136353E0,-2.656974792E-1,7.048807878E0
1.517003167E0,4.514761505E0,-5.193001099E0,1.647474060E0,7.075627367E0
1.526925167E0,4.213587799E0,-4.831652527E0,2.938838654E0,7.052372715E0
1.536848167E0,4.282594299E0,-4.069138184E0,3.819307709E0,7.034600974E0
1.546770167E0,4.630919952E0,-3.490142212E0,4.011058960E0,7.050894003E0
1.556692167E0,4.829556885E0,-3.247197418E0,3.607049103E0,6.846876222E0
1.566614167E0,4.677323456E0,-3.306474152E0,2.882555695E0,6.412429599E0
1.576536167E0,4.729265442E0,-3.488795013E0,1.631756744E0,6.099202599E0
1.586458167E0,4.576133881E0,-3.187770996E0,6.405180359E-1,5.613657326E0
1.596380167E0,4.218677216E0,-2.702330475E0,-3.733236694E-1,5.023862857E0
1.606302167E0,3.935166779E0,-2.335742798E0,-1.219813385E0,4.735945174E0
1.616225167E0,3.324436798E0,-2.154170380E0,-1.656754761E0,4.293852162E0
1.626147167E0,2.148033142E0,-2.806064758E0,-1.659299469E0,3.904013388E0
1.636069167E0,1.762135620E0,-3.441493378E0,-1.758094025E0,4.247339545E0
1.645991167E0,2.006277924E0,-3.670367432E0,-1.824705505E0,4.563583939E0
1.655913167E0,2.468816071E0,-3.959266663E0,-1.806144104E0,5.003299094E0
1.665835167E0,2.802322540E0,-4.283043365E0,-2.028731232E0,5.505744500E0
1.675757167E0,3.156935120E0,-4.352648621E0,-2.697241058E0,6.015554728E0
1.685679167E0,3.385809174E0,-4.535717926E0,-3.665427704E0,6.743278217E0
1.695602167E0,3.960913239E0,-5.293591919E0,-4.731660461E0,8.130163578E0
1.705524167E0,4.508474579E0,-6.330785065E0,-6.136189728E0,9.902424296E0
1.715446167E0,5.094356232E0,-7.036268005E0,-7.681426392E0,1.159594085E1
1.725368167E0,6.262377319E0,-7.700137482E0,-9.465566254E0,1.371518981E1
1.735290167E0,7.877668304E0,-8.466843109E0,-1.191656937E1,1.660571334E1
1.745212167E0,9.487271118E0,-9.145980835E0,-1.391850632E1,1.916721411E1
1.755134167E0,1.003243744E1,-1.034109558E1,-1.430275726E1,2.030164831E1
1.765056167E0,1.067684738E1,-1.032882111E1,-1.371807312E1,2.022041408E1
1.774979167E0,1.172391998E1,-9.401499481E0,-1.246847168E1,1.952693725E1
1.784901167E0,1.179981216E1,-8.931027832E0,-1.113968491E1,1.852272672E1
1.794823167E0,1.109867020E1,-8.360863495E0,-1.037432648E1,1.734102559E1
1.804745167E0,1.002270767E1,-8.450676727E0,-8.958121490E0,1.587817832E1
1.814667167E0,6.760391693E0,-8.740025024E0,-5.774990845E0,1.246761615E1
1.824589167E0,4.478237457E0,-8.219557343E0,-2.954406281E0,9.815510690E0
1.834511167E0,5.978567505E0,-9.021739197E0,-1.025218048E0,1.087134396E1
1.844433167E0,8.050259399E0,-7.577392731E0,3.855981445E-1,1.106219883E1
1.854355167E0,1.035576508E1,-7.018604736E0,1.140478363E0,1.256198128E1
1.864278167E0,9.301806793E0,-8.775501251E0,1.297352142E0,1.285364362E1
1.874200167E0,6.914571075E0,-1.036519547E1,1.675166473E0,1.257198285E1
1.884122167E0,6.060147858E0,-1.096963852E1,2.117197266E0,1.270987355E1
1.894044167E0,5.931116180E0,-1.119312378E1,2.488275604E0,1.290951876E1
1.903966167E0,5.259313202E0,-1.068912186E1,3.151546326E0,1.232274100E1
1.913888167E0,6.156098328E0,-1.003827530E1,3.106939087E0,1.217857086E1
1.923810167E0,8.317304077E0,-9.213939514E0,2.938539276E0,1.275575327E1
1.933732167E0,9.465266876E0,-8.619375916E0,3.213068390E0,1.319881535E1
1.943655167E0,9.733509064E0,-8.471333771E0,3.202141113E0,1.329505180E1
1.953577167E0,9.626781006E0,-8.353828125E0,2.818039856E0,1.305383873E1
1.963499167E0,8.173902283E0,-7.611521759E0,3.114872589E0,1.159527375E1
1.973421167E0,7.763455811E0,-6.796915741E0,2.172282715E0,1.054457784E1
1.983343167E0,7.509434052E0,-6.196514282E0,1.564696198E0,9.860865237E0
1.993265167E0,7.187752991E0,-5.934109955E0,1.053359528E0,9.380139674E0
2.003187167E0,7.063960419E0,-5.750441895E0,5.384303284E-1,9.124528810E0
2.013109167E0,6.932533722E0,-5.620212708E0,-6.945556641E-2,8.924776678E0
2.023032167E0,6.900200958E0,-5.161267090E0,-5.707630920E-1,8.635810428E0
2.032954167E0,6.386918335E0,-4.991370392E0,-1.230291595E0,8.198787814E0
2.042876167E0,6.243965607E0,-4.955445099E0,-1.814826050E0,8.175398230E0
2.052798167E0,6.619684296E0,-4.876110077E0,-2.147883453E0,8.497651028E0
2.062720167E0,7.219037933E0,-4.485272827E0,-2.119442596E0,8.759236150E0
2.072642167E0,7.504644012E0,-3.697461090E0,-1.936822357E0,8.587326773E0
2.082563833E0,7.669151917E0,-3.319796448E0,-2.033072205E0,8.600600105E0
2.092485833E0,7.637717285E0,-2.968027954E0,-2.404000854E0,8.539504399E0
2.102407833E0,7.228168945E0,-2.596650238E0,-2.873873749E0,8.200498100E0
2.112330833E0,6.638994141E0,-2.381547546E0,-3.580404510E0,7.909949960E0
2.122252833E0,6.051316223E0,-2.141895905E0,-3.699706421E0,7.409046747E0
2.132174833E0,5.649551697E0,-1.939516754E0,-3.181184692E0,6.767502912E0
2.142096833E0,5.308411102E0,-2.245480499E0,-2.791844330E0,6.404358349E0
2.152018833E0,4.993615723E0,-2.908002777E0,-2.713108063E0,6.383857259E0
2.161940833E0,4.943470001E0,-3.175945587E0,-2.032623138E0,6.217401616E0
2.171862833E0,4.714745636E0,-3.673061829E0,-1.708247681E0,6.215972953E0
2.181784833E0,4.616549835E0,-4.056264954E0,-1.380429382E0,6.298523877E0
2.191707833E0,4.461322632E0,-4.532424774E0,-1.035546570E0,6.443495221E0
2.201629833E0,4.546794891E0,-4.550986176E0,-1.099763031E0,6.526430700E0
2.211551833E0,5.111121368E0,-4.625231781E0,-1.134341125E0,6.985918727E0
2.221473833E0,6.022575989E0,-4.272265778E0,-1.128652954E0,7.469774689E0
2.231395833E0,7.449708252E0,-3.827091522E0,-1.199156342E0,8.460659460E0
2.241317833E0,8.536298676E0,-3.830085297E0,-1.080752563E0,9.418384923E0
2.251239833E0,9.418863373E0,-4.085454254E0,-1.194665680E0,1.033601228E1
2.261161833E0,1.039213943E1,-4.316274261E0,-1.582509155E0,1.136358750E1
2.271084833E0,1.123832977E1,-4.116439819E0,-2.171234894E0,1.216385604E1
2.281006833E0,1.202733902E1,-3.822301483E0,-2.603236542E0,1.288579501E1
2.290928833E0,1.272728348E1,-3.647465057E0,-2.851121063E0,1.354313986E1
2.300850833E0,1.314850754E1,-3.576961670E0,-3.141816559E0,1.398388060E1
2.310772833E0,1.356164841E1,-4.028572540E0,-3.567231903E0,1.459016270E1
2.320694833E0,1.340342743E1,-4.646188202E0,-3.816313934E0,1.469024110E1
2.330616833E0,1.272279282E1,-5.230572968E0,-3.960613861E0,1.431484589E1
2.340538833E0,1.193153824E1,-5.854625244E0,-4.158951416E0,1.392605897E1
2.350460833E0,1.102442459E1,-6.848408661E0,-4.538562012E0,1.374907938E1
2.360383833E0,9.787546692E0,-7.299420776E0,-4.766987000E0,1.310731776E1
2.370305833E0,9.663454742E0,-6.814878387E0,-5.071453857E0,1.286641245E1
2.380227833E0,1.085662354E1,-6.598278809E0,-4.220772858E0,1.338725070E1
2.390149833E0,1.224708206E1,-5.730832672E0,-2.439626770E0,1.373991415E1
2.400071833E0,1.355551117E1,-4.913831635E0,-1.110390930E0,1.446134822E1
2.409993833E0,1.354817642E1,-5.276527405E0,1.802252197E-1,1.454054012E1
2.419915833E0,1.282083893E1,-6.737788696E0,7.893086243E-1,1.450498933E1
2.429837833E0,1.164668060E1,-8.002808075E0,1.497336273E0,1.421028227E1
2.439760833E0,1.093056976E1,-8.869356079E0,2.548749847E0,1.430520739E1
2.449682833E0,1.069675598E1,-9.392518158E0,3.243754578E0,1.460006608E1
2.459604833E0,1.061757065E1,-9.807455292E0,3.315904541E0,1.482950467E1
2.469526833E0,1.038465500E1,-1.005519012E1,3.305276642E0,1.482810715E1
2.479448833E0,9.918674011E0,-1.027134064E1,3.010539551E0,1.459259679E1
2.489370833E0,9.454788666E0,-1.023346939E1,2.545007629E0,1.416312071E1
2.499292833E0,8.935817871E0,-9.754465485E0,2.094294891E0,1.339345023E1
2.509214833E0,8.246052246E0,-9.104367371E0,1.653162231E0,1.239434662E1
2.519136833E0,7.396419067E0,-8.664731598E0,1.192270660E0,1.145452304E1
2.529059833E0,6.448739777E0,-8.359366608E0,3.433859253E-1,1.056329346E1
2.538981833E0,5.606291656E0,-8.223299561E0,-5.046006775E-1,9.965329079E0
2.548903833E0,4.848866730E0,-8.006999359E0,-1.880838776E0,9.547832309E0
2.558825833E0,4.741240540E0,-6.862629089E0,-4.034410400E0,9.265608839E0
2.568747833E0,4.751868439E0,-5.754034424E0,-5.054239655E0,9.013018601E0
2.578669833E0,4.766088867E0,-5.583988037E0,-5.246739349E0,9.023569099E0
2.588591833E0,5.119204559E0,-5.132526855E0,-5.394182739E0,9.035833922E0
2.598513833E0,5.100493469E0,-4.652175751E0,-5.205125885E0,8.645872329E0
2.608436833E0,4.909790039E0,-4.076173553E0,-4.383334808E0,7.741760336E0
2.618358833E0,4.770130463E0,-3.582051086E0,-3.476819916E0,6.904600737E0
2.628280833E0,4.361779633E0,-2.905308380E0,-2.349514160E0,5.743357479E0
2.638202833E0,4.494852905E0,-2.428849182E0,-1.084195404E0,5.222881452E0
2.648124833E0,4.816533966E0,-2.095791779E0,5.292993164E-1,5.279346588E0
2.658046833E0,5.317242737E0,-1.656455383E0,1.928589478E0,5.893757047E0
2.667968833E0,6.082451477E0,-1.543739777E0,1.921105042E0,6.562773274E0
2.677890833E0,6.806346130E0,-1.476080475E0,2.242486725E0,7.316686950E0
2.687812833E0,6.572532349E0,-1.279688873E0,2.615361328E0,7.188595131E0
2.697735833E0,6.169420624E0,-1.455573120E0,1.688488770E0,6.559835232E0
2.707657833E0,5.581892395E0,-1.835632782E0,2.715353394E-1,5.882244628E0
2.717579833E0,4.287534027E0,-2.207160187E0,-7.295828247E-1,4.877170821E0
2.727501833E0,3.153791656E0,-2.264490967E0,-1.178499298E0,4.057484658E0
2.737423833E0,2.907104645E0,-2.530787201E0,-1.723665619E0,4.222222689E0
2.747345833E0,3.303779755E0,-3.227288818E0,-2.131567383E0,5.086642635E0
2.757267833E0,3.630699921E0,-3.951333160E0,-2.250420227E0,5.818883644E0
2.767189833E0,3.796405334E0,-4.759652252E0,-2.468367004E0,6.569613283E0
2.777112833E0,3.893104248E0,-5.751639404E0,-2.787802734E0,7.483946860E0
2.787034833E0,4.240681458E0,-6.877148895E0,-3.265609131E0,8.714514281E0
2.796956833E0,4.762795715E0,-7.602989502E0,-3.902384949E0,9.783571980E0
2.806878833E0,5.312602386E0,-7.563771057E0,-4.758754120E0,1.039615879E1
2.816800833E0,6.187532959E0,-7.570357361E0,-6.267017670E0,1.161341402E1
2.826722833E0,7.437284088E0,-8.336613922E0,-8.059091034E0,1.377538655E1
2.836644833E0,8.707841949E0,-8.792715454E0,-9.925709381E0,1.586373421E1
2.846566833E0,9.795031128E0,-9.085506592E0,-1.170206543E1,1.776027590E1
2.856488833E0,1.009410919E1,-9.397607574E0,-1.261801071E1,1.869278638E1
2.866411833E0,1.069915100E1,-8.740324402E0,-1.256307495E1,1.867340234E1
2.876333833E0,1.184621567E1,-7.497159576E0,-1.197360077E1,1.843657622E1
2.886255833E0,1.165715881E1,-6.652615814E0,-1.153830597E1,1.769969360E1
2.896177833E0,1.156390274E1,-5.710475006E0,-1.117291580E1,1.706362854E1
2.906099833E0,1.048973648E1,-4.727918243E0,-9.441017303E0,1.488356779E1
2.916021833E0,6.699169006E0,-5.326224060E0,-6.489754486E0,1.074078402E1
2.925943833E0,5.592370605E0,-6.474486237E0,-3.266207886E0,9.157603124E0
2.935865833E0,7.997568970E0,-7.537126465E0,-9.877958679E-1,1.103381736E1
2.945787833E0,9.545649719E0,-8.201594696E0,6.342311096E-1,1.260110444E1
2.955710833E0,9.996661835E0,-9.286239166E0,1.626218262E0,1.374089049E1
2.965632833E0,1.034034714E1,-9.362580414E0,2.399360504E0,1.415406732E1
2.975554833E0,1.060424835E1,-9.539063416E0,1.175056458E-1,1.426385718E1
2.985476833E0,1.027029282E1,-1.051937485E1,-1.040186920E0,1.473832251E1
2.995398833E0,1.063194077E1,-9.754315796E0,-6.399192810E-1,1.444279536E1
3.005320833E0,1.011551468E1,-8.719218292E0,9.363029480E-1,1.338749671E1
3.015242833E0,9.736502838E0,-7.777825928E0,1.849404144E0,1.259818873E1
3.025164833E0,9.030570831E0,-7.273075562E0,1.695224762E0,1.171847365E1
3.035087833E0,8.656199341E0,-6.604266357E0,1.719324646E0,1.102280356E1
3.045009833E0,8.828790436E0,-5.668412476E0,1.720522156E0,1.063196299E1
3.054931833E0,8.369246063E0,-5.596112823E0,1.255439301E0,1.014578170E1
3.064853833E0,7.629783783E0,-5.305117950E0,1.027613068E0,9.349538259E0
3.074775833E0,7.046596527E0,-5.064568176E0,1.096170502E0,8.746768729E0
3.084697458E0,6.503376160E0,-4.841382294E0,1.342408447E0,8.217964738E0
3.094619458E0,6.177054749E0,-4.737348633E0,1.279239807E0,7.888911960E0
3.104541458E0,5.861959991E0,-4.718188477E0,1.409618683E0,7.655775746E0
3.114463458E0,5.558690643E0,-4.618196411E0,1.534010010E0,7.387825558E0
3.124386458E0,5.375022583E0,-4.561763763E0,1.513053589E0,7.210401346E0
3.134308458E0,5.186265106E0,-4.474644928E0,1.305285645E0,6.973059845E0
3.144230458E0,5.109474792E0,-4.278403015E0,9.855505371E-1,6.736673873E0
