"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.165330417E-1,-6.384074249E0,-1.753004608E0,-1.157842255E0,6.720865113E0
6.264540417E-1,-6.131100311E0,-2.008223877E0,-1.375190277E0,6.596552317E0
6.363760417E-1,-5.801186371E0,-2.463876343E0,-1.615889740E0,6.506577410E0
6.462980417E-1,-5.386997681E0,-2.878364410E0,-1.755100250E0,6.354927425E0
6.562190417E-1,-5.012177124E0,-3.245850220E0,-1.785936127E0,6.232738645E0
6.661410417E-1,-5.129084015E0,-3.448828125E0,-1.702709198E0,6.411016837E0
6.760630417E-1,-4.724924469E0,-3.750450897E0,-1.780397644E0,6.289722485E0
6.859840417E-1,-4.412374420E0,-4.213138733E0,-2.003733215E0,6.421412057E0
6.959060417E-1,-4.783602448E0,-4.769980774E0,-2.288291473E0,7.132450268E0
7.058280417E-1,-5.658233643E0,-4.772675171E0,-2.413580933E0,7.785846721E0
7.157490417E-1,-6.132148132E0,-4.112547913E0,-2.728975067E0,7.871695876E0
7.256710417E-1,-6.850055237E0,-3.373834076E0,-3.115171967E0,8.246836333E0
7.355930417E-1,-7.410938873E0,-2.846480713E0,-3.341950378E0,8.613541650E0
7.455150417E-1,-7.570956116E0,-2.636617126E0,-3.607198792E0,8.791075560E0
7.554360417E-1,-7.884254608E0,-2.468067627E0,-3.739074554E0,9.068269243E0
7.653580417E-1,-7.781568146E0,-2.339634705E0,-4.193529510E0,9.143980704E0
7.752800417E-1,-8.334069214E0,-1.852697296E0,-4.384682007E0,9.597636857E0
7.852010417E-1,-9.840237122E0,-9.996212769E-1,-3.789220276E0,1.059186950E1
7.951230417E-1,-1.139520355E1,-1.745370483E-1,-3.938310242E0,1.205783624E1
8.050450417E-1,-1.300256104E1,6.716532898E-1,-4.863985291E0,1.389877925E1
8.149660417E-1,-1.487890915E1,1.255289612E0,-6.015989685E0,1.609813099E1
8.248880417E-1,-1.642279861E1,1.457070007E0,-7.456444244E0,1.809502495E1
8.348100417E-1,-1.696676743E1,1.620530090E0,-8.624315643E0,1.910173120E1
8.447310417E-1,-1.597627716E1,2.154918823E0,-8.841513977E0,1.838633940E1
8.546530417E-1,-1.444765594E1,2.583627319E0,-7.345824280E0,1.641252652E1
8.645750417E-1,-1.266710861E1,2.809956665E0,-4.689148865E0,1.379636235E1
8.744970417E-1,-8.647517395E0,1.508862305E0,-2.372416534E0,9.093106332E0
8.844180417E-1,-5.307363281E0,-1.628014526E0,-1.054706726E0,5.650747081E0
8.943400417E-1,-7.048542480E0,-3.363505554E0,-2.627037048E0,8.239929876E0
9.042622917E-1,-1.128443390E1,-2.774929504E0,-4.828808441E0,1.258396095E1
9.141832917E-1,-1.401520523E1,-3.004402313E0,-4.133654022E0,1.491775809E1
9.241052917E-1,-1.431787582E1,-4.717889099E0,-5.855822754E-1,1.508651558E1
9.340272917E-1,-1.281754578E1,-5.552254028E0,6.973997498E-1,1.398582750E1
9.439482917E-1,-1.249586472E1,-4.884043579E0,-1.510209503E0,1.350115734E1
9.538702917E-1,-1.306677750E1,-3.751349030E0,-2.590962067E0,1.383930555E1
9.637922917E-1,-1.163620239E1,-2.889291687E0,-2.921923828E-1,1.199310589E1
9.737132917E-1,-1.018631744E1,-2.381547546E0,2.682571564E0,1.079949175E1
9.836352917E-1,-9.187743988E0,-2.133363647E0,4.066892853E0,1.027158690E1
9.935572917E-1,-9.434131622E0,-1.404828644E0,3.742367706E0,1.024605773E1
1.003478292E0,-9.910291443E0,-7.943980408E-1,3.274141388E0,1.046732757E1
1.013400292E0,-1.035576508E1,-5.905220032E-1,2.738854523E0,1.072808979E1
1.023322292E0,-1.052266800E1,-4.418811035E-1,2.484234009E0,1.082096203E1
1.033244292E0,-1.059496765E1,-2.903961182E-1,2.271526337E0,1.083962644E1
1.043165292E0,-1.120225479E1,-1.698966980E-1,2.278112640E0,1.143281131E1
1.053087292E0,-1.160072617E1,-1.320254517E-1,2.320474548E0,1.183126707E1
1.063009292E0,-1.160776154E1,-1.875599670E-1,2.006277924E0,1.178136061E1
1.072930292E0,-1.159997772E1,-2.492317200E-1,1.654359741E0,1.172000451E1
1.082852292E0,-1.080138840E1,-2.151026917E-1,1.349294128E0,1.088746321E1
1.092774292E0,-9.799222412E0,-3.614982605E-1,8.732839966E-1,9.844697345E0
1.102695292E0,-8.984466705E0,-5.530998230E-1,4.704716492E-1,9.013761976E0
1.112617292E0,-7.856262817E0,-5.568420410E-1,1.612147522E-1,7.877622021E0
1.122539292E0,-7.193740540E0,-3.200344849E-1,1.651066589E-1,7.202748450E0
1.132460292E0,-6.976841583E0,-1.242416382E-2,2.947370911E-1,6.983075454E0
1.142382292E0,-6.870861969E0,3.115022278E-1,4.408332825E-1,6.892032488E0
1.152304292E0,-6.729555817E0,5.530998230E-1,4.715194702E-1,6.768690532E0
1.162225292E0,-6.606960754E0,6.575825500E-1,3.730242920E-1,6.650074612E0
1.172147292E0,-6.473887482E0,6.559359741E-1,3.014730835E-1,6.514012369E0
1.182069292E0,-6.380631409E0,6.424639893E-1,1.287322998E-1,6.414186555E0
1.191991292E0,-6.489305420E0,6.033952332E-1,-7.499404907E-2,6.517729263E0
1.201912292E0,-6.635102234E0,5.780978394E-1,-2.279759216E-1,6.664139238E0
1.211834292E0,-6.984775085E0,4.800517273E-1,-2.465373230E-1,7.005591574E0
1.221756292E0,-7.241191864E0,4.300556946E-1,-1.191522217E-1,7.254929687E0
1.231677292E0,-7.418273621E0,3.177891541E-1,-8.247848511E-2,7.425535412E0
1.241599292E0,-7.499853973E0,1.640588379E-1,-2.236349487E-1,7.504980847E0
1.251521292E0,-7.856262817E0,-5.448669434E-2,-2.649490356E-1,7.860918028E0
1.261442292E0,-8.164322205E0,-2.800675964E-1,-1.288819885E-1,8.170141093E0
1.271364292E0,-8.258177032E0,-4.448748779E-1,1.107696533E-2,8.270158660E0
1.281286292E0,-8.574768677E0,-5.358856201E-1,1.742376709E-1,8.593264224E0
1.291207292E0,-8.970395966E0,-5.209167480E-1,1.441502380E-1,8.986664416E0
1.301129292E0,-9.204509125E0,-4.831951904E-1,3.802093506E-2,9.217261600E0
1.311051292E0,-9.267677765E0,-3.867956543E-1,4.385879517E-2,9.275849591E0
1.320973292E0,-9.266929321E0,-3.983216858E-1,4.490661621E-2,9.275594634E0
1.330894292E0,-9.376501465E0,-5.450166321E-1,1.344204712E-1,9.393289717E0
1.340816292E0,-9.483379211E0,-5.423222351E-1,3.290158081E-1,9.504569747E0
1.350738292E0,-9.816586304E0,-4.085005188E-1,4.799020386E-1,9.836795479E0
1.360659292E0,-1.024080414E1,1.052311707E-1,5.185217285E-1,1.025446282E1
1.370581292E0,-1.028705795E1,5.632786560E-1,6.746470642E-1,1.032453354E1
1.380503292E0,-1.054646851E1,7.256909180E-1,8.659492493E-1,1.060681353E1
