"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.263749167E-1,6.803352356E-1,-9.046886902E0,1.272204437E0,9.161196580E0
6.362959167E-1,7.942483521E-1,-8.764274597E0,-2.564167786E-1,8.803924649E0
6.462169166E-1,1.333576813E0,-8.115523682E0,-5.908213806E-1,8.245557692E0
6.561379167E-1,2.634371796E0,-7.243886261E0,8.140072632E-1,7.750897415E0
6.660589167E-1,4.510719910E0,-5.999823303E0,3.756887512E0,8.393966735E0
6.759799167E-1,3.366050262E0,-7.088509369E0,4.471501465E0,9.031698887E0
6.859019167E-1,2.623594208E0,-8.111182709E0,3.272494812E0,9.131470517E0
6.958229167E-1,1.713786163E0,-8.039781189E0,1.721719666E0,8.398777482E0
7.057439167E-1,2.028581543E0,-7.353009338E0,7.686515808E-1,7.666336456E0
7.156649167E-1,2.566562805E0,-6.432723083E0,1.686842194E0,7.128296254E0
7.255859167E-1,2.640509033E0,-6.092330933E0,1.699715424E0,6.854036524E0
7.355069167E-1,2.251318359E0,-6.522236938E0,1.689536591E0,7.103699242E0
7.454279167E-1,1.288370819E0,-7.415579224E0,1.679657135E0,7.711806707E0
7.553490417E-1,9.674382019E-1,-8.150101776E0,2.027833099E0,8.454123415E0
7.652710417E-1,1.077758789E0,-8.784033508E0,2.045496368E0,9.083218817E0
7.751920416E-1,1.142274628E0,-9.220076752E0,2.355052643E0,9.584408150E0
7.851130417E-1,9.958790588E-1,-9.367969208E0,2.543211365E0,9.757999089E0
7.950340417E-1,5.002597046E-1,-9.068891144E0,2.665207672E0,9.465641990E0
8.049550416E-1,3.091072083E-1,-8.779093781E0,3.031645660E0,9.292949493E0
8.148760417E-1,4.647834778E-1,-8.919202423E0,2.981050873E0,9.415670972E0
8.247970417E-1,1.071022797E0,-9.519005127E0,3.150049438E0,1.008371756E1
8.347180417E-1,8.173004150E-1,-9.676028595E0,3.574566650E0,1.034751352E1
8.446400417E-1,2.646496582E-1,-9.400451660E0,3.534749451E0,1.004654092E1
8.545610417E-1,5.044509888E-2,-8.850944366E0,3.531156921E0,9.529471658E0
8.644820417E-1,1.297801208E-1,-8.190817108E0,3.722608795E0,8.998007781E0
8.744030417E-1,8.150550842E-1,-7.598349152E0,3.758833466E0,8.516340390E0
8.843240417E-1,1.703008575E0,-6.844367065E0,3.882925415E0,8.051255089E0
8.942450417E-1,2.070793762E0,-6.301595764E0,4.032913513E0,7.762904571E0
9.041660417E-1,2.089504852E0,-6.050268402E0,4.116140442E0,7.610150485E0
9.140870417E-1,1.709594879E0,-6.233038330E0,4.177812195E0,7.695946739E0
9.240090417E-1,8.204438782E-1,-6.914720764E0,4.476590881E0,8.278064830E0
9.339300417E-1,-7.768844604E-2,-8.419541473E0,4.827012177E0,9.705398532E0
9.438510417E-1,-1.621128845E-1,-9.545350342E0,5.411846008E0,1.097397243E1
9.537720417E-1,1.889071655E-1,-1.010264145E1,5.784271545E0,1.164288828E1
9.636930417E-1,8.333171082E-1,-9.649982758E0,6.020480347E0,1.140450649E1
9.736140417E-1,1.047072601E0,-9.176068268E0,6.316265259E0,1.118891401E1
9.835350417E-1,6.824308777E-1,-9.193731537E0,6.164031830E0,1.108989179E1
9.934560417E-1,1.539548492E0,-8.146209869E0,6.451733551E0,1.050503739E1
1.003378042E0,2.635269928E0,-7.092401276E0,5.876779175E0,9.580362045E0
1.013299042E0,3.149300995E0,-7.220684509E0,5.061873779E0,9.363703738E0
1.023220042E0,3.600313110E0,-8.183931427E0,2.815794525E0,9.373776555E0
1.033141042E0,3.714675293E0,-8.812773743E0,-9.532177734E-1,9.611057054E0
1.043062042E0,2.416275330E0,-9.775122528E0,-3.646267548E0,1.070918643E1
