"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.382017916E-1,1.715432739E0,3.080743561E0,1.227507385E1,1.277149672E1
6.481227917E-1,2.015109558E0,3.132984924E0,1.331660797E1,1.382780926E1
6.580437917E-1,2.149979095E0,2.870879974E0,1.388452698E1,1.434030862E1
6.679647916E-1,2.186353455E0,2.651136932E0,1.378977402E1,1.421149309E1
6.778857917E-1,2.375410309E0,2.631677399E0,1.326152252E1,1.372720946E1
6.878067917E-1,2.542013855E0,2.823428650E0,1.253298752E1,1.309615821E1
6.977277916E-1,2.667153625E0,3.503015442E0,1.182301392E1,1.261619926E1
7.076477917E-1,2.543361053E0,3.846251678E0,1.138951538E1,1.228753018E1
7.175687916E-1,2.161205750E0,3.754043427E0,1.152243896E1,1.230976247E1
7.274897917E-1,1.926344147E0,3.733685760E0,1.225187210E1,1.295220372E1
7.374107917E-1,1.826052704E0,3.364403687E0,1.322260345E1,1.376557019E1
7.473317916E-1,1.670675812E0,2.619402924E0,1.407867325E1,1.441740163E1
7.572527917E-1,1.302890625E0,1.786085815E0,1.459509933E1,1.476159040E1
7.671737917E-1,8.752299500E-1,1.114881592E0,1.457728638E1,1.464603245E1
7.770947916E-1,4.140390015E-1,7.009922791E-1,1.395503036E1,1.397875856E1
7.870157917E-1,-1.451980591E-2,5.239105225E-1,1.297397049E1,1.298455249E1
7.969367917E-1,-2.853067017E-1,5.692662048E-1,1.195279404E1,1.196974307E1
8.068577917E-1,-1.438508606E-1,7.854167175E-1,1.094059891E1,1.096969812E1
8.167777917E-1,2.499801636E-1,1.194665680E0,9.952653351E0,1.002721421E1
8.266987916E-1,7.080276489E-1,1.644929352E0,9.047785034E0,9.223313382E0
8.366197917E-1,1.042432251E0,2.124981079E0,8.399782562E0,8.726886998E0
8.465407917E-1,1.319057007E0,2.484383698E0,8.033643951E0,8.511845210E0
8.564617917E-1,1.515598297E0,2.623594208E0,7.946375427E0,8.504420450E0
8.663827917E-1,1.485361176E0,2.620450745E0,8.134833527E0,8.674593733E0
8.763037917E-1,1.366658020E0,2.379302216E0,8.542735291E0,8.972578193E0
8.862247917E-1,1.272803192E0,2.020198975E0,8.893755341E0,9.208697841E0
8.961457500E-1,1.174008636E0,1.763632507E0,8.947643280E0,9.195053897E0
9.060667500E-1,1.062340851E0,1.650168457E0,8.625962219E0,8.846403124E0
9.159867500E-1,9.020242310E-1,1.601369934E0,8.095016327E0,8.301043471E0
9.259077500E-1,7.174580383E-1,1.600771179E0,7.453300781E0,7.656951544E0
9.358287500E-1,5.568420410E-1,1.617985382E0,6.793622589E0,7.005801713E0
9.457497500E-1,4.460723877E-1,1.664538574E0,6.147416382E0,6.384387004E0
9.556707500E-1,3.025209045E-1,1.709295502E0,5.581892395E0,5.845573772E0
9.655917500E-1,2.173480225E-1,1.775906982E0,5.238805847E0,5.535898525E0
9.755127500E-1,1.431024170E-1,1.916464691E0,5.107379150E0,5.456980575E0
9.854337500E-1,9.520202637E-2,1.906734924E0,5.325176239E0,5.657049008E0
9.953547500E-1,8.053253174E-2,1.857786713E0,5.858517151E0,6.146550265E0
1.005275750E0,7.918533325E-2,1.816772003E0,6.241720276E0,6.501230870E0
1.015195750E0,-1.556762695E-2,1.736688538E0,6.359824677E0,6.592700459E0
1.025116750E0,-2.255809021E-1,1.765428772E0,6.232888641E0,6.482015605E0
1.035037750E0,-4.848417664E-1,1.969304810E0,5.984255676E0,6.318587577E0
1.044958750E0,-6.625222778E-1,2.252815247E0,5.805826721E0,6.262725942E0
1.054879750E0,-7.277865601E-1,2.578837280E0,5.883066101E0,6.464560445E0
1.064800750E0,-7.854167175E-1,2.858755188E0,6.121370544E0,6.801509978E0
1.074721750E0,-9.913883972E-1,2.978655853E0,6.430328064E0,7.155722232E0
1.084642750E0,-1.178349609E0,3.048859863E0,6.842720490E0,7.583328950E0
1.094563750E0,-1.210532684E0,3.240461426E0,7.326364746E0,8.101950384E0
1.104484750E0,-9.449848938E-1,3.578757935E0,7.825127563E0,8.656392215E0
1.114404750E0,-5.219645691E-1,3.990850983E0,8.383167114E0,9.299291879E0
1.124325750E0,-1.511856079E-1,4.328848114E0,8.951834564E0,9.944703372E0
1.134246750E0,9.774673462E-2,4.490811310E0,9.491761780E0,1.050097530E1
1.144167750E0,1.088237000E-1,4.670138397E0,9.891131287E0,1.093876197E1
1.154088750E0,3.607498169E-2,4.957989807E0,1.013123199E1,1.127939830E1
1.164009750E0,-8.113128662E-2,5.203329620E0,1.030187714E1,1.154165906E1
1.173930750E0,-2.240840149E-1,5.344635773E0,1.061562469E1,1.188725506E1
1.183851750E0,-4.252656555E-1,5.346432037E0,1.116273697E1,1.238434023E1
1.193772750E0,-6.342311096E-1,5.160668335E0,1.209095673E1,1.316153416E1
1.203693750E0,-1.025816803E0,5.058430939E0,1.328921494E1,1.425634095E1
1.213613750E0,-1.368753662E0,4.820874939E0,1.458581863E1,1.542272437E1
1.223534750E0,-1.485660553E0,4.514312439E0,1.575458817E1,1.645579692E1
1.233455750E0,-1.485959930E0,4.579277344E0,1.625350067E1,1.695152329E1
1.243376750E0,-1.335373077E0,5.110372925E0,1.578632217E1,1.664653419E1
1.253297750E0,-3.155438232E-1,5.407505035E0,1.472053848E1,1.568550069E1
1.263218750E0,1.227746887E0,5.275928650E0,1.366298767E1,1.469761945E1
1.273139750E0,1.868115234E0,5.318739624E0,1.255169861E1,1.375950521E1
1.283060750E0,2.169438629E0,5.107229462E0,1.175834839E1,1.300188500E1
1.292981750E0,2.211950226E0,4.538711700E0,1.145971939E1,1.252269125E1
1.302902750E0,2.070644073E0,3.708388367E0,1.143891266E1,1.220198484E1
1.312823750E0,1.578018494E0,2.610870667E0,1.125344833E1,1.165962638E1
1.322743750E0,5.637277222E-1,1.531016235E0,1.076486435E1,1.088779611E1
1.332664750E0,-5.857319641E-1,7.942483521E-1,9.994566193E0,1.004317010E1
1.342585750E0,-1.396895142E0,4.957690430E-1,9.136700134E0,9.256154295E0
1.352506750E0,-1.862876129E0,6.239025879E-1,8.449479218E0,8.674863743E0
1.362427750E0,-2.041604462E0,9.346563721E-1,8.025261383E0,8.333459760E0
1.372348750E0,-1.995650024E0,1.230740662E0,7.886050873E0,8.227219455E0
1.382269750E0,-1.818568268E0,1.481319580E0,7.926167450E0,8.265931810E0
1.392190750E0,-1.499581604E0,1.690734100E0,7.937693481E0,8.253139075E0
1.402111750E0,-1.132694550E0,1.821711731E0,7.859406281E0,8.146894970E0
1.412032750E0,-8.207432556E-1,1.929786987E0,7.728428650E0,8.007890278E0
