"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.446608333E-1,8.894503784E-1,8.545878754E0,5.754633179E0,1.034112995E1
6.547298333E-1,9.502239990E-1,8.563542023E0,5.378016357E0,1.015678284E1
6.647978333E-1,1.148711243E0,8.581804047E0,5.151836700E0,1.007513373E1
6.748668333E-1,1.469494171E0,8.637338562E0,5.135221252E0,1.015546788E1
6.849348333E-1,1.832639008E0,8.714727631E0,5.243146820E0,1.033419721E1
6.950038333E-1,2.044298859E0,8.739875336E0,5.318589935E0,1.043321511E1
7.050718333E-1,2.025438080E0,8.682095490E0,5.273533630E0,1.035815324E1
7.151408333E-1,1.863923950E0,8.563392334E0,5.156926117E0,1.016856862E1
7.252088333E-1,1.657353516E0,8.420439606E0,5.049000549E0,9.957059324E0
7.352778333E-1,1.467248840E0,8.262817383E0,4.994663544E0,9.765942565E0
7.453458333E-1,1.230590973E0,8.062982941E0,4.939727783E0,9.535562837E0
7.554148333E-1,9.897418213E-1,7.863298187E0,4.912484436E0,9.324352556E0
7.654828333E-1,7.689509583E-1,7.659871216E0,4.837490387E0,9.092096890E0
7.755518333E-1,5.418731689E-1,7.477550354E0,4.701423340E0,8.849337108E0
7.856198333E-1,3.245251465E-1,7.360643463E0,4.508773956E0,8.637906653E0
7.956888333E-1,1.809736633E-1,7.384443970E0,4.333638153E0,8.564063513E0
8.057568333E-1,1.850152588E-1,7.500901794E0,4.161047058E0,8.579747723E0
8.158258333E-1,3.159928894E-1,7.676486664E0,3.971990204E0,8.648988680E0
8.258938333E-1,4.507127380E-1,7.880362701E0,3.788172455E0,8.755198960E0
8.359628333E-1,6.033952332E-1,8.094267883E0,3.684887238E0,8.914014378E0
8.460308333E-1,7.556286621E-1,8.296946411E0,3.695365448E0,9.114056189E0
8.560998333E-1,8.527766418E-1,8.440647583E0,3.841461639E0,9.312818432E0
8.661678333E-1,8.373587036E-1,8.487500153E0,4.111649780E0,9.468077543E0
8.762368333E-1,7.981402588E-1,8.451724548E0,4.410278778E0,9.566568591E0
8.863045833E-1,6.632707214E-1,8.336314545E0,4.620741119E0,9.554334971E0
8.963735833E-1,3.576063538E-1,8.234226837E0,4.667144623E0,9.471674236E0
9.064415833E-1,1.094224548E-1,8.175249481E0,4.700824585E0,9.431035422E0
9.165105833E-1,-5.433700562E-2,8.146658936E0,4.749922485E0,9.430417167E0
9.265785833E-1,-1.615141296E-1,8.147407379E0,4.792134705E0,9.453617765E0
9.366475833E-1,-2.580633545E-1,8.209827576E0,4.839136963E0,9.533368348E0
9.467155833E-1,-3.471281433E-1,8.293653259E0,4.913681946E0,9.646214418E0
9.567845833E-1,-4.207749939E-1,8.418793030E0,4.984484711E0,9.792763425E0
9.668525833E-1,-4.834945679E-1,8.535101166E0,4.950056305E0,9.878500713E0
9.769215833E-1,-4.873864746E-1,8.647517395E0,4.893623657E0,9.948098068E0
9.869895833E-1,-4.754113770E-1,8.799750824E0,4.866230621E0,1.006686798E1
9.970585833E-1,-4.363426208E-1,8.917256470E0,4.785847778E0,1.012976785E1
1.007126583E0,-4.119433594E-1,8.995693359E0,4.608766022E0,1.011597354E1
1.017195583E0,-3.474275208E-1,9.132059784E0,4.399052124E0,1.014233116E1
1.027263583E0,-1.672023010E-1,9.344917145E0,4.243525543E0,1.026464525E1
1.037332583E0,6.795867920E-2,9.551637268E0,4.092639313E0,1.039173178E1
1.047400583E0,2.821632385E-1,9.764045563E0,3.974834290E0,1.054587642E1
1.057469583E0,4.852908325E-1,9.993518372E0,3.861519928E0,1.072460968E1
