"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710119679237146E9,"2024-03-10 21:14:39.237 UTC-04:00"
"PAUSE",6.054993041662965E1,1.710119739787064E9,"2024-03-10 21:15:39.787 UTC-04:00"
