"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.274939167E-1,-1.533938674E0,5.816679153E0,7.582540619E-1,6.063140560E0
6.375339167E-1,-1.385216205E0,6.418418455E0,1.557674130E-1,6.568042546E0
6.475739167E-1,-1.554761193E0,7.290439453E0,-4.201785779E-1,7.466213219E0
6.576149167E-1,-1.294363777E0,7.791738208E0,-1.723657433E0,8.084402070E0
6.676549168E-1,1.444711405E-1,6.611218112E0,-3.116831406E0,7.310520833E0
6.776949167E-1,-4.133045912E-2,5.196536325E0,-4.446988767E0,6.839693493E0
6.877349167E-1,1.051207752E0,4.301057467E0,-5.502284893E0,7.062525902E0
6.977749167E-1,2.053838883E0,3.042579369E0,-5.267579995E0,6.420509511E0
7.078159167E-1,2.784597583E0,7.589416945E-1,-3.645571729E0,4.649749394E0
7.178559167E-1,3.613112081E0,-1.202163565E0,-1.402486249E0,4.057923585E0
7.278959167E-1,4.108066022E0,-2.792880456E0,-3.069615725E-1,4.977008448E0
7.379359168E-1,3.798108921E0,-4.304924816E0,3.189188361E-2,5.740995222E0
7.479759167E-1,2.550520384E0,-5.711651466E0,-4.642583978E-1,6.272451878E0
7.580169167E-1,7.527319515E-1,-7.606808903E0,-1.059946855E0,7.717100130E0
7.680569167E-1,-1.195027403E0,-9.845772096E0,-1.107249806E0,9.979645324E0
7.780969167E-1,-2.961490182E0,-1.230189152E1,-6.173607230E-1,1.266838953E1
7.881369167E-1,-4.454303342E0,-1.464455158E1,2.882534060E-1,1.530969625E1
7.981769167E-1,-5.594119508E0,-1.636170457E1,9.632621205E-1,1.731841284E1
8.082169167E-1,-5.914807127E0,-1.711395003E1,1.228075501E0,1.814884014E1
8.182579167E-1,-5.677724751E0,-1.731090413E1,1.453240958E0,1.827610105E1
8.282979167E-1,-4.932056236E0,-1.706246296E1,1.657135707E0,1.783813106E1
8.383379168E-1,-3.225013959E0,-1.638982266E1,1.429954276E0,1.676519523E1
8.483779167E-1,-6.593110601E-1,-1.497966135E1,1.781078406E0,1.509957568E1
8.584179167E-1,2.349990708E0,-1.255461403E1,2.872173378E0,1.309160684E1
8.684589167E-1,5.285260806E0,-9.531524016E0,3.637177466E0,1.148969067E1
8.784989167E-1,6.846086732E0,-6.245642588E0,4.217331187E0,1.018149484E1
8.885389167E-1,7.475452958E0,-3.321247142E0,4.491538703E0,9.332041547E0
8.985789167E-1,7.587907779E0,-8.184166485E-1,4.387707356E0,8.803302000E0
9.086189168E-1,6.093778703E0,1.604049713E0,3.469046627E0,7.193149440E0
9.186589167E-1,4.320772232E0,4.081108603E0,1.621942778E0,6.160780672E0
