"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.399702084E-1,-1.844299964E0,7.947229121E0,1.165099819E0,8.241198374E0
6.500102084E-1,-1.220681404E0,7.783737463E0,5.973549132E-1,7.901484979E0
6.600492083E-1,-1.197248103E0,7.950398312E0,3.392895122E-1,8.047195394E0
6.700882084E-1,-1.893157982E0,8.242609406E0,7.041638088E-1,8.486489476E0
6.801272084E-1,-2.736481138E0,8.616148252E0,1.806779696E0,9.219045102E0
6.901662084E-1,-3.344250381E0,8.855940812E0,1.232762044E0,9.546276789E0
7.002062084E-1,-2.934246250E0,9.037614387E0,-2.248890595E0,9.764516567E0
7.102452083E-1,-3.024683965E0,8.873379548E0,-4.960224028E0,1.060610202E1
7.202842084E-1,-3.084496889E0,8.455608269E0,-6.461137043E0,1.107960848E1
7.303232084E-1,-2.546319160E0,8.567915155E0,-7.057515618E0,1.138865392E1
7.403622083E-1,-1.616853215E0,9.096501111E0,-6.544977930E0,1.132242390E1
7.504022084E-1,-7.410060914E-1,8.960324137E0,-5.213853439E0,1.039330392E1
7.604412084E-1,1.781899940E0,7.189256310E0,-9.768466642E-1,7.470930537E0
7.704802083E-1,4.730993879E0,2.303159773E0,9.777301785E0,1.110326430E1
7.805192084E-1,3.976707153E0,-5.367238770E0,1.004933238E1,1.206691896E1
7.905582084E-1,1.494312386E0,-1.386559135E1,-1.204149279E-1,1.394640071E1
8.005982083E-1,1.262735749E0,-2.110896774E1,-3.933104466E0,2.150935451E1
8.106372084E-1,2.162720325E0,-2.608975701E1,-1.650138929E0,2.623119781E1
8.206762084E-1,3.817995009E-1,-2.578699286E1,4.874706160E0,2.624647656E1
8.307152083E-1,-1.179409856E0,-2.050103974E1,5.975341011E0,2.138663925E1
8.407542084E-1,3.463887337E0,-1.519531719E1,4.623416805E0,1.625644989E1
8.507942084E-1,4.045025436E0,-1.277126156E1,8.671806729E-1,1.342458025E1
8.608332084E-1,1.935125203E0,-1.084774512E1,-2.226542245E0,1.124169801E1
8.708722084E-1,1.209308570E0,-1.142673759E1,-2.197026085E0,1.169870432E1
8.809112083E-1,1.468545168E0,-1.250133303E1,-2.969163483E-1,1.259079472E1
8.909502084E-1,3.159434220E0,-1.198734874E1,2.973200109E0,1.274827335E1
9.009902084E-1,3.165170046E0,-9.708071921E0,2.169631149E0,1.043897798E1
9.110292083E-1,3.437969261E0,-6.350525265E0,8.271770932E-1,7.268633002E0
9.210682084E-1,5.535876562E0,-3.740029405E0,-2.241452645E-1,6.684608467E0
9.311072084E-1,4.877028382E0,-3.043644732E0,2.480030738E-1,5.754188441E0
9.411462083E-1,-4.568166465E-2,1.894345259E0,3.279389849E0,3.787483143E0
9.511862084E-1,-3.740722592E-1,4.230225466E0,2.530082027E0,4.943283586E0
9.612252084E-1,-1.141615793E0,5.109715698E0,4.131829691E-1,5.251971182E0
9.712642083E-1,-2.134433688E0,6.949454979E0,1.792318947E0,7.487532229E0
9.813032084E-1,-1.924453888E0,8.228249229E0,2.923059942E0,8.941581938E0
9.913432084E-1,-2.242028888E0,9.042890330E0,1.508888617E0,9.438077342E0
1.001382208E0,-3.072407185E0,9.367711346E0,-3.001001573E-1,9.863253108E0
1.011421208E0,-3.652947991E0,9.985552125E0,-8.235632946E-1,1.066459267E1
1.021460208E0,-4.000321425E0,1.063265880E1,-6.374891782E-1,1.137815438E1
1.031499208E0,-4.108782598E0,1.077365388E1,-4.380500078E-1,1.153887344E1
1.041539208E0,-3.840598590E0,1.063614374E1,-4.983441567E-1,1.131927993E1
1.051578208E0,-3.710769353E0,1.072756847E1,-5.156220943E-1,1.136293979E1
1.061617208E0,-3.511241890E0,1.079439747E1,-5.660128140E-1,1.136521917E1
1.071656208E0,-3.282185987E0,1.072330936E1,-6.408296925E-1,1.123266536E1
1.081695208E0,-3.391192120E0,1.040586402E1,-9.927595693E-1,1.098943864E1
1.091735208E0,-3.094979777E0,9.508124628E0,-1.514722384E0,1.011324467E1
1.101774208E0,-2.177766380E0,8.772079461E0,-2.209796696E0,9.304581985E0
1.111813208E0,-1.472431374E0,8.568450760E0,-2.860253829E0,9.152456203E0
1.121852208E0,-8.592489249E-1,8.585604737E0,-2.885675769E0,9.098243899E0
1.131891208E0,-4.629389736E-1,8.642843716E0,-2.310346001E0,8.958278776E0
1.141930208E0,-4.514622049E-1,8.712615032E0,-1.903766731E0,8.929602823E0
1.151970208E0,-5.851427110E-1,8.761747431E0,-1.704553264E0,8.945172545E0
1.162009208E0,-5.757747406E-1,8.738485453E0,-1.419437912E0,8.871721848E0
1.172048208E0,-6.216221738E-1,8.596782274E0,-8.982555543E-1,8.665906914E0
1.182087208E0,-4.563903844E-1,8.412531247E0,1.589479329E-1,8.426401284E0
1.192126208E0,1.521205777E-1,7.790456498E0,2.217009675E0,8.101202690E0
1.202166208E0,1.108842587E0,6.164018966E0,3.519620950E0,7.184176593E0
1.212205208E0,2.148018670E0,2.773263633E0,1.410026819E0,3.780628389E0
1.222244208E0,3.084338429E0,-3.077418834E0,1.332121295E0,4.556116479E0
