"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710101780297470E9,"2024-03-10 16:16:20.297 UTC-04:00"
"PAUSE",6.000497083330993E1,1.710101840301450E9,"2024-03-10 16:17:20.301 UTC-04:00"
