"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710101142758358E9,"2024-03-10 16:05:42.758 UTC-04:00"
"PAUSE",6.000337699998636E1,1.710101202760643E9,"2024-03-10 16:06:42.761 UTC-04:00"
